icao24,model
aafb39,172H
a9e170,R172K
3954a0,172R Skyhawk
a9e537,172N
a2d12a,172N
c05e57,R172K (Cessna)
aac963,172L
a94f42,172B
ab8af6,172K
a0c94e,172L
391b29,172N Skyhawk
3.86E+04,F172M
3d2306,F172G
a03e70,R172K
ac99b2,172N
3d0a25,F172H
aa53db,172L
c084e7,172D (Cessna)
7c7a68,172R
a81315,172N
ac3739,172F
aafb44,172B
c07c62,172M (Cessna)
aadbe5,172K
a9e632,172N
c016d8,172M (Cessna)
3d2a8e,F172
c015cc,172E (Cessna)
c0601d,172S (Cessna)
c00479,172M (Cessna)
a04227,R172K
a14f46,172S
a7c9ed,172G
aba088,172F
a873f7,172N
3d0ddf,F172
ab5f08,172F
3909aa,F172
a25abf,172D
acd9d7,172M
a9da75,172N
a89e2b,172S
a90256,R172E
a18177,172L
a59fc3,172I
c05532,172N (Cessna)
a8be3e,172P
a87b1f,172N
adb9a1,172P
3d2bea,F172M
ada82d,172A
a68c91,172M
a6f918,172N
ac1030,R172E
acc109,172M
4405c7,F 172 D
aa32ec,172N
a84fbe,172P
39b013,F172M
aaa25c,172B
a30785,172N
a4308d,172E
a4b964,172S
a25a90,172H
a9e253,R172K
a9d73c,172N
a6b90b,172S
aa9e9b,172G
c0519f,172M (Cessna)
c05a10,172K (Cessna)
a80c25,172M
c039a5,172H (Cessna)
3d2022,FR172G Rocket
c005eb,172F (Cessna)
a038a3,172R
a6bffe,172R
aa3a35,172N
a9e9a0,172N
aa2f1e,172L
a1b230,172M
a73e64,172S
a4986e,172G
a60cce,172N
adc041,172M
a4a771,172L
a0903d,172M
aaba9b,172K
a19c71,172M
c07ee7,172M (Cessna)
c012dd,172 (Cessna)
c0599d,172N (Cessna)
a198a3,172N
a1872f,172S
3d1167,F172M
a9e878,172N
a6c680,172F
c06c8e,172P (Cessna)
c07e8c,R172K (Cessna)
a5c5f4,172R
ad4d5a,172R
a9ed97,172N
a06cd7,172M
ab54db,172C
a19499,172M
4785cc,F172
a0b510,R172K
a5af94,172K
a24f2f,172S
c05b29,172P (Cessna)
c01c79,172 (Cessna)
3d18e6,172A
a806a2,172N
a61ad7,172N
a8ba64,172S
a4e833,172S
a4ff50,172M
c00740,172 (Cessna)
adc3fb,172A
aaa5ca,172F
ab8dca,172I
abdc8a,172F
383664,F172G
a2f839,172M
a7c19c,172N
c05615,172R (Cessna)
468704,F172N
484e7d,F172M
3d18f1,FR172H Rocket
c0815e,172 (Cessna)
a05766,172M
a16f7b,172N
a0d0c8,172E
300391,172S Skyhawk SP
3d0f78,F172M
a83adc,172N
a0b8ca,172C
c0824e,172N (Cessna)
39b9a6,172S Skyhawk SP
a90597,172M
342603,172R Skyhawk
c037a6,172H (Cessna)
a9e1a5,R172K
a43d97,172H
a6a2c4,172P
a195b4,172M
3d32d5,172P Skyhawk
478548,FR172F Rocket
a1d95d,MI-172
a68fb5,172S
a69b56,172P
a8a4be,172P
a02c46,172M
a184a6,172L
adb60d,172P
ad4ad1,172R
a0eb5c,172N
a13d71,172M
406a33,CESSNA F172H Skyhawk
48b020,172S Skyhawk SP
a803b3,R172K
a3e7bf,172R
c080fa,172E (Cessna)
ab1e98,172H
ac2063,172F
a6fc80,172P
a1b2a4,172N
aa177b,172A
a87e14,172RG
c08370,172M (Cessna)
a4916e,172H
a664e5,172F
ab222c,172H
a9e684,172N
ad7ea1,172S
a3c822,172B
a12238,172K
aa246d,172A
aaab87,172S
a9ecff,172N
a5af97,172K
a6357c,172M
ab1be1,172B
aa9765,172K
c0481a,172K (Cessna)
a12243,172M
a25f60,172N
a93556,172M
aa82f6,172A
a833be,172RG
a274d7,172H
a85597,172S
a67a67,172M
c01605,172M (Cessna)
aba06d,172K
a9db3f,172N
398812,172R Skyhawk
a9d7e9,172N
a2c3dc,172M
a3eefb,172S
a6c27d,172P
a22627,172D
c01065,172D (Cessna)
a3eea4,172E
a80931,172S
a9baf5,172N
a4638d,172M
a792ba,172G
a6db91,172E
aa9e96,172L
a8b137,172N
a84f5e,172N
c0756a,172M (Cessna)
ab6828,172S
a9d7f4,172N
3d16a8,F172N
a68245,172S
aab460,172F
4071af,CESSNA FR172J Reims Rocket
a48141,172G
a19c4b,172M
a2fc91,172D
a23eab,172D
c05ca3,172N (Cessna)
a5de4a,172N
a00af3,172L
aa2f7b,172N
c047d9,172S (Cessna)
a27802,172H
adc10b,172L
a9ec86,172N
a18200,172L
a49874,172E
aaa1f3,172B
a0c760,172C
a6a1e9,172S
c05132,172F (Cessna)
a02032,172M
aa3b0a,172N
a56c4f,172S
47856c,FR172K Hawk XP
c070da,R172K (Cessna)
a0d452,172C
a2c903,172S
a26d8c,172H
c06e6f,172M (Cessna)
a0b7ae,172M
ad10c6,172P
a28cd7,172R
a232cb,172H
ab4990,172F
a190d1,172S
a986cf,172K
3d0b8b,Reims/Cessna FR172H Rocket
ad1014,172M
a1386d,172M
a2608a,172S
a10e30,172H
a0b15c,172C
a03349,172F
a9e901,172N
a23ad1,172D
a3f660,172I
3d14af,F172M
a122c2,172P
a71580,172E
40448a,REIMS CESSNA FR172K Reims Hawk Xp
c0448f,172L (Cessna)
ab91de,172K
a22555,172D
c0312e,172F (Cessna)
a861fc,172RG
3d0eee,F172H
a325ac,172N
a6de5a,172P
ad914b,172R
a7fb81,172S
a91cb3,172M
a1217e,172L
aac325,172K
a3fd91,172I
c05f7e,172P (Cessna)
a6befb,172P
a9eb7d,172N
a706be,172N
c00e79,172E (Cessna)
c04c1d,172RG (Cessna)
4684ac,172N Skyhawk
a9ea1a,172N
a77945,172G
a509f9,172G
a664c4,172M
4d030b,F172L
aa825f,172L
49d346,FR172H Rocket
a505ba,172L
ab8641,172F
3d3197,172N Skyhawk
aa7afd,172E
a40903,172L
c0666c,172B (Cessna)
c055b9,172N (Cessna)
a9b9c1,172L
a4019e,172M
a120b8,172RG
a72daf,172H
a24985,172S
c00d21,172 (Cessna)
404900,CESSNA 172S Skyhawk
a24d41,172S
a44ce6,172H
a2941b,172R
a867d5,172M
a1b8ae,172F
a51099,172L
a08da6,172G
a9dbf7,172N
a04971,172M
aadcc0,172K
a8b7e6,172Q
c03712,172D (Cessna)
ab37ea,172H
a1f814,172M
a9d879,172N
c03e8f,172K (Cessna)
3d2b12,F172
aaa944,172K
a33c82,172N
a1a771,172M
a9e37a,R172K
a99565,172K
ab99d4,172K
a18b38,172S
adc86b,172P
402974,CESSNA 172N Skyhawk
a9ad59,172K
c0526f,172S (Cessna)
c0346f,172L (Cessna)
c0851d,172N (Cessna)
a0661b,172M
ab8690,172K
4b964f,172S Skyhawk SP
400c80,172S Skyhawk SP
a26b02,172N
a9d97a,172M
c064d3,172N (Cessna)
a06cb7,172M
c07fb7,172H (Cessna)
a54058,172L
a34039,172N
aa0fa4,172A
a19479,172M
a812d5,R172K
ab3766,172F
c0527a,172H (Cessna)
4015fb,CESSNA F172E Skyhawk
a248d7,172D
a9e581,172N
a07e5a,172M
a6ee36,172R
a9213e,172E
c02e57,172N (Cessna)
a19569,172M
a9ed04,172N
a0406a,172S
c05ffd,172H (Cessna)
a6a194,172N
a5ef14,172P
a692f7,172P
49d06f,FR172H Rocket
a47b88,172G
c04eef,172M (Cessna)
c020aa,172A (Cessna)
c06d12,172M (Cessna)
391c95,172N Skyhawk
a32d91,172E
c07f10,172F (Cessna)
a4d84c,172R
a088ec,172S
a06d00,172M
345289,F172H
a6bb20,172P
aaae3a,172K
a9e287,R172K
c01329,172M (Cessna)
a238f6,172R
a343fe,172E
a9d7d6,172N
aabb2c,172K
a3fdc6,172E
a92467,172M
ab6725,172F
a9dd23,172A
a9d6f1,172N
ab0be2,172H
a07e1b,172N
aac4c8,172S
a10ae2,172H
491043,172N Skyhawk
a9ea15,172N
c05187,172N (Cessna)
49d398,172S Skyhawk SP
ab8693,172K
a16119,172C
a5a82a,172K
a0ec2c,172R
a6c918,172N
aaf46b,172M
a18593,172L
a30cdc,172S
aa3049,172N
a29044,172D
a44645,172G
a198e2,172M
a06905,172M
4d0311,Cessna 172S Skyhawk SP
a3e99c,172S
a567f6,172G
a19830,172M
a3c7ea,172M
ad20d1,172S
a867af,172M
a09c49,172M
a3d63b,172N
c05649,172M (Cessna)
a672a7,172N
ab5a10,172M
a87ecc,172P
ad3793,172M
aaec4e,172M
a0e374,172C
aafe4c,172B
a6544c,172S
a8b6d5,172P
aaad47,172K
3d4491,F172P
ab828d,172C
a91576,172B
a6e307,172P
aaf05a,172H
a8956e,172S
acf022,172RG
a50588,172RG
a6228e,172N
ab82f3,172F
a2b86b,172R
a9dc0f,172N
aa5990,172P
ab6d7e,172C
a150c9,172S
402ab5,CESSNA 172N Skyhawk
a37b11,172L
a944f7,172S
c0840c,172M (Cessna)
aa2f55,172N
aaef77,172M
abcccb,172K
a73194,172E
c07bca,172N (Cessna)
a3a1e9,172A
a3e7fe,172R
a0e6e2,172M
ad5ff0,172S
a5ac6c,172R
c00cc5,172M (Cessna)
a7f9e3,172R
aa4e4b,172S
a6a92a,172N
aabac0,172K
ab85fb,172F
aafb06,172M
a0916a,172M
40159b,CESSNA 172C Skyhawk
aa381e,R172K
ace21c,172M
a78ee0,172G
a88626,172N
a1aee2,172M
c06e49,172M (Cessna)
a5a2a7,172S
a3b250,172N
a0ee0a,172M
aae44b,172B
a06d47,172M
a2b82c,172D
a1954e,172M
aa3935,R172K
ada069,172RG
a929ff,CESSNA FR172E
a53552,172G
a0978f,172N
a808ba,172M
ada66b,172M
a653d5,172M
3.92E+04,172N Skyhawk
a8214d,172S
a9b886,172L
a65736,172M
aabb27,172K
ab5579,172N
c05adb,172P (Cessna)
ac907f,172M
a8949c,172S
a070d6,172M
a11296,172H
a27128,172D
a71f8d,172E
a089e2,172M
a9d613,172K
a5e5c7,172RG
c08324,172N (Cessna)
a1a04b,172M
aacd30,172N
a8702d,172RG
a54456,172M
a9184a,172N
48450c,Reims/Cessna F172P
a64bb8,172M
c00908,172K (Cessna)
a078d4,172M
a10025,172N
a8773b,172M
a649e0,172P
a2b452,172D
aa60de,172S
4b9ea1,172S Skyhawk SP
ad42b8,172M
a94b37,172M
acbae2,172N
aabac3,172K
a3fe61,172I
a0ad82,172C
aaf471,172S
a75c31,172N
a6d667,172I
a39317,172H
a7645b,172E
a206d1,172M
a70a20,172P
3d2a1c,172R Skyhawk
a2af7c,172S
acd86b,172S
a3ed53,172S
aafe9e,172M
c0004b,172M (Cessna)
a9e89c,172N
a3ada1,172F
a5af56,172K
acc50a,172M
ad0271,172R
a18c9e,172M
a18611,172R
a47fcb,172G
ab4688,172F
aa62e5,172A
c0698f,172M (Cessna)
a667ed,172F
ad2a9e,172N
a984bb,172S
a48cbd,172G
a9e935,172N
c03a9d,172H (Cessna)
3d39ba,172N Skyhawk
aa2bb8,172A
a9edd5,172N
4b06fe,172S
392dca,172P Skyhawk
a3f694,172R
4b334f,172R
a121ea,172N
a868a5,172M
c08035,172M (Cessna)
ad6a3e,172M
aaad2c,172L
aabf2a,172K
ab6493,172S
3d2c2e,F172
a5a42a,172I
a3fe17,172I
a7ce70,172S
401890,CESSNA F172H Skyhawk
4b33b5,172S
a6ca37,172F
3d11b0,F172L
a4f825,172R
ac2ccd,172S
a87361,172P
a523ac,172N
aa485c,172B
a518b6,172L
a1aadf,172D
a9ee13,172N
c0427b,172L (Cessna)
ac4bbd,172M
a86253,172P
c07e0f,172L (Cessna)
adc89c,172L
acf3d7,172RG
a3ca11,172S
abc033,P172D
a2513a,172D
acdf50,172M
ab3ba9,172F
a4b559,172R
