Latitude,Longtitude,Pressure [hPa],Height [m],Temperature [C],Relative Humidity [%],Wind Direction [deg],Wind Speed [knot]
,,925.0,780.0,19.4,91.0,108.0,16.0
,,900.0,1016.0,17.6,97.0,111.0,15.0
,,850.0,1505.0,18.0,56.0,133.0,12.0
,,800.0,2022.0,16.0,37.0,126.0,13.0
,,750.0,2567.0,13.1,27.0,123.0,14.0
,,700.0,3142.0,9.1,28.0,132.0,16.0
,,650.0,3751.0,5.0,61.0,147.0,18.0
,,600.0,4401.0,1.5,71.0,169.0,17.0
,,550.0,5095.0,-3.4,67.0,168.0,20.0
,,500.0,5844.0,-7.1,82.0,174.0,18.0
,,450.0,6661.0,-10.5,97.0,249.0,19.0
,,400.0,7559.0,-15.9,98.0,272.0,22.0
,,350.0,8551.0,-23.1,100.0,273.0,16.0
,,300.0,9661.0,-31.7,99.0,258.0,26.0
,,250.0,10922.0,-42.3,100.0,259.0,48.0
,,200.0,12386.0,-55.3,100.0,256.0,50.0
,,150.0,14163.0,-68.7,45.0,264.0,82.0
,,100.0,16537.0,-76.3,34.0,263.0,20.0
b'13.0000',b'-132.0000',1011.6,0.0,25.0,83.0,78.0,16.0
,,1000.0,101.0,24.0,81.0,78.0,18.0
,,975.0,322.0,22.0,88.0,80.0,19.0
,,950.0,548.0,20.1,93.0,85.0,19.0
,,925.0,778.0,19.0,90.0,104.0,15.0
,,900.0,1014.0,17.7,90.0,112.0,14.0
,,850.0,1504.0,19.2,37.0,119.0,11.0
,,800.0,2023.0,16.7,28.0,111.0,13.0
,,750.0,2568.0,13.4,22.0,116.0,13.0
,,700.0,3144.0,9.7,26.0,131.0,12.0
,,650.0,3754.0,5.4,47.0,150.0,13.0
,,600.0,4404.0,1.2,74.0,174.0,13.0
,,550.0,5099.0,-2.6,63.0,182.0,15.0
,,500.0,5849.0,-7.1,56.0,167.0,19.0
,,450.0,6664.0,-11.3,86.0,196.0,13.0
,,400.0,7561.0,-15.8,98.0,270.0,22.0
,,350.0,8554.0,-23.0,100.0,285.0,18.0
,,300.0,9663.0,-32.2,96.0,280.0,22.0
,,250.0,10923.0,-42.2,100.0,265.0,49.0
,,200.0,12389.0,-54.7,94.0,262.0,50.0
,,150.0,14169.0,-68.3,38.0,268.0,77.0
,,100.0,16543.0,-77.3,46.0,255.0,18.0
b'13.0000',b'-131.0000',1011.7,0.0,24.8,82.0,77.0,15.0
,,1000.0,102.0,23.7,81.0,77.0,17.0
,,975.0,323.0,21.6,87.0,78.0,18.0
,,950.0,548.0,19.6,94.0,81.0,18.0
,,925.0,778.0,18.6,88.0,99.0,14.0
,,900.0,1014.0,18.1,79.0,111.0,11.0
,,850.0,1505.0,19.1,43.0,102.0,11.0
,,800.0,2023.0,16.4,39.0,101.0,13.0
,,750.0,2568.0,13.2,30.0,105.0,13.0
,,700.0,3144.0,10.0,27.0,122.0,10.0
,,650.0,3756.0,5.9,48.0,149.0,9.0
,,600.0,4406.0,1.6,69.0,185.0,11.0
,,550.0,5102.0,-2.4,54.0,193.0,13.0
,,500.0,5853.0,-6.0,22.0,181.0,15.0
,,450.0,6669.0,-11.4,62.0,185.0,13.0
,,400.0,7564.0,-16.2,88.0,279.0,12.0
,,350.0,8556.0,-23.1,92.0,290.0,21.0
,,300.0,9665.0,-31.8,78.0,274.0,29.0
,,250.0,10927.0,-41.8,91.0,265.0,48.0
,,200.0,12396.0,-54.0,62.0,261.0,51.0
,,150.0,14180.0,-68.1,38.0,271.0,70.0
,,100.0,16546.0,-78.6,64.0,260.0,20.0
b'13.0000',b'-130.0000',1011.8,0.0,24.9,79.0,79.0,15.0
,,1000.0,102.0,23.7,77.0,79.0,17.0
,,975.0,323.0,21.6,83.0,80.0,18.0
,,950.0,549.0,19.6,90.0,82.0,18.0
,,925.0,778.0,17.8,93.0,86.0,16.0
,,900.0,1013.0,18.2,70.0,92.0,13.0
,,850.0,1505.0,19.2,37.0,91.0,10.0
,,800.0,2023.0,16.7,37.0,92.0,13.0
,,750.0,2569.0,13.4,34.0,94.0,12.0
,,700.0,3146.0,10.2,25.0,110.0,8.0
,,650.0,3757.0,6.0,44.0,153.0,5.0
,,600.0,4408.0,1.6,61.0,200.0,9.0
,,550.0,5104.0,-2.2,36.0,198.0,11.0
