,Elevation,Latent Variable 1,Latent Variable 2
453,37.0,1.521217,7.18698
454,178.0,2.493296,4.264726
455,245.0,2.531585,2.341837
456,189.0,1.261747,7.882506
457,11.0,0.0,7.545612
458,1619.0,6.047705,5.490084
459,178.0,0.0,2.210869
460,62.0,3.88768,2.309001
461,178.0,1.338427,0.614722
462,10.0,1.435948,7.439397
463,396.0,9.323042,0.564071
464,317.0,3.237751,4.358741
465,79.0,0.232743,1.708798
466,215.0,5.692001,5.294309
467,171.0,1.760355,2.272611
468,1289.0,5.523363,3.094889
469,178.0,1.729312,1.743664
470,313.0,4.28548,4.391845
471,700.0,4.650652,2.596104
472,15.0,0.810056,4.687821
473,1516.0,5.165287,3.686159
474,405.0,8.622778,3.219496
475,60.0,0.47195,0.211139
476,872.0,6.005078,3.274184
477,872.0,3.363255,2.571036
478,1611.0,6.070167,3.515712
480,1625.0,4.696597,2.021421
481,13.0,6.115596,6.665393
484,506.0,2.462358,0.104689
485,10.0,2.255373,0.022064
486,317.0,2.07968,5.711551
487,446.0,0.0,4.632683
488,9.0,0.0,3.450483
492,137.0,0.0,6.75761
493,173.0,1.803353,3.82382
494,405.0,2.539801,0.951708
495,20.0,0.0,4.042991
496,405.0,2.635818,1.683252
497,11.0,2.458345,3.884695
498,874.0,3.033984,3.423505
499,446.0,6.523939,1.938066
500,287.0,9.004571,3.319991
501,1134.0,6.791634,2.162695
502,506.0,2.632514,1.097726
503,61.0,2.012624,0.0
504,189.0,7.058048,1.553354
505,11.0,2.820286,1.855748
506,751.0,5.25112,5.323389
507,13.0,2.304769,2.713546
508,5.0,0.43442,7.341383
509,93.0,4.06275,2.804113
511,125.0,2.822883,3.520602
512,62.0,2.644878,2.493584
514,728.0,1.152311,1.050293
515,12.0,4.61051,2.441017
516,396.0,3.124959,2.651895
517,79.0,2.879869,4.582707
518,121.0,1.418015,2.840216
519,15.0,2.417418,2.679648
520,287.0,6.253775,4.264747
521,751.0,3.246374,3.468364
522,654.0,2.570414,2.954268
523,190.0,2.134557,0.0
524,387.0,3.515689,3.258487
525,1289.0,1.2905,3.371753
527,13.0,0.0,5.017115
528,1029.0,2.275986,0.616184
529,287.0,2.422667,1.644538
530,287.0,7.548722,3.433529
533,62.0,0.755667,0.11755
534,5.0,0.302985,5.514774
535,12.0,2.698174,4.554309
536,396.0,4.064904,2.886903
537,13.0,4.19929,4.894005
538,173.0,1.940431,2.001558
539,329.0,0.913521,0.0
540,9.0,7.658956,2.646815
541,287.0,1.520915,1.685339
542,121.0,0.532606,8.341209
543,121.0,5.838132,5.361624
544,849.0,1.607947,1.575258
545,405.0,2.791659,1.66103
546,171.0,1.409837,5.315034
547,189.0,4.738386,0.0
548,446.0,9.225776,4.063392
549,171.0,2.637353,3.092702
550,20.0,3.558753,3.483367
551,10.0,2.388742,1.546776
552,229.0,6.984061,5.348058
553,60.0,4.180816,3.034519
554,20.0,2.950724,2.21614
555,137.0,1.966548,1.879366
556,5.0,3.217175,5.548147
557,790.0,0.50925,0.586262
558,10.0,0.0,3.062076
559,874.0,0.221833,0.126026
560,1134.0,2.273958,0.71825
561,872.0,3.010724,1.908385
562,317.0,1.887007,6.776404
563,405.0,2.787422,2.372949
565,1134.0,5.871561,0.331042
566,350.0,8.02732,2.633936
567,137.0,3.560862,5.836979
568,10.0,0.601762,0.634883
569,1134.0,3.954184,5.030239
571,751.0,3.684099,3.782277
572,215.0,2.265653,1.877806
573,20.0,1.405702,1.065816
574,5.0,1.820139,0.0
575,1625.0,2.980625,1.974988
576,91.0,2.955176,4.158266
577,62.0,1.945328,3.611801
578,5.0,0.572751,8.103082
579,357.0,1.559981,0.533794
580,345.0,2.789816,1.374024
581,11.0,3.901691,3.493078
582,446.0,0.992746,3.432328
583,245.0,1.06778,0.761307
584,357.0,3.101864,2.211571
585,53.0,2.001303,2.352272
586,849.0,1.624256,1.495049
587,13.0,6.071911,6.791584
588,1029.0,3.609003,2.595902
589,13.0,2.253708,3.242918
590,9.0,0.0,8.218869
591,396.0,6.652975,4.13625
593,1099.0,2.332221,1.042129
594,13.0,0.0,5.439228
595,178.0,0.345428,1.974925
596,1289.0,5.985481,3.804027
597,10.0,2.328681,3.114599
598,1029.0,3.029458,0.574775
599,396.0,3.010659,1.502117
600,11.0,7.233236,4.9918
601,270.0,3.885652,2.827163
602,178.0,1.691568,2.352386
603,15.0,4.115915,5.569361
604,1134.0,2.314352,1.872077
605,189.0,2.591205,0.0
606,359.0,2.470461,2.256701
608,1475.0,3.87374,2.374421
609,13.0,0.450552,0.516545
610,387.0,2.551607,1.916339
611,359.0,3.99851,2.380648
612,173.0,0.0,3.675667
613,1625.0,1.628759,0.539624
614,751.0,4.188511,2.08703
615,79.0,1.331999,2.89142
616,16.0,2.418288,2.210129
617,79.0,2.932362,3.755315
619,171.0,2.612764,2.650196
620,215.0,1.875199,0.552249
621,13.0,4.412887,5.146991
622,91.0,2.830842,3.612586
623,62.0,8.548312,0.346402
625,180.0,5.006062,3.939739
626,229.0,8.118614,3.057209
627,1475.0,3.395785,0.46624
628,1029.0,4.17822,0.743164
629,3.0,2.446135,5.701262
630,270.0,0.762364,3.776813
631,5.0,3.424144,4.137161
632,1289.0,6.603913,1.482532
633,1252.0,1.696029,0.26518
634,1608.0,2.47924,1.564529
635,190.0,1.516909,1.31117
636,1029.0,6.702404,1.792618
637,1516.0,2.604486,0.731717
638,79.0,4.094265,3.461983
639,173.0,0.0,6.326467
640,446.0,9.189948,4.012878
641,1516.0,5.499343,1.049177
642,872.0,1.387979,1.262792
643,872.0,1.757224,2.543559
644,178.0,2.291328,1.839792
645,12.0,4.231461,3.790281
646,387.0,2.896435,3.049988
647,13.0,0.0,4.09935
648,245.0,3.878085,4.891806
649,7.0,4.208666,6.072869
650,270.0,3.845463,3.936246
651,446.0,4.255466,0.0
652,189.0,2.729972,0.0
653,137.0,4.120839,5.24838
655,61.0,6.411414,0.908693
656,446.0,2.378052,0.0
657,62.0,2.99274,4.308337
658,189.0,9.224956,0.815258
659,214.0,0.898714,0.442076
660,359.0,3.06102,4.287115
661,654.0,0.821518,0.89658
662,1625.0,4.157327,0.059363
663,215.0,4.095956,4.692541
664,79.0,3.958788,4.099642
665,313.0,5.904172,1.630939
666,872.0,3.017919,2.895454
667,137.0,4.041636,5.136882
668,15.0,2.195832,1.289234
670,506.0,4.244452,2.658671
672,171.0,5.35506,5.845377
673,125.0,5.804174,2.488213
675,849.0,1.38523,0.435568
676,1029.0,5.037132,2.794925
678,180.0,0.724745,6.86166
679,1099.0,2.877273,3.704255
680,5.0,0.0,7.271471
681,1608.0,2.839537,2.073524
682,173.0,5.493799,6.468292
683,53.0,0.375091,0.569468
684,506.0,6.741282,2.841571
685,229.0,2.649161,3.277551
687,270.0,0.543817,0.625298
688,171.0,5.052984,4.07666
689,178.0,6.130785,1.556811
690,654.0,0.604721,0.887784
691,345.0,3.774419,3.666567
692,11.0,3.590012,5.942212
694,359.0,1.668073,3.366065
695,697.0,4.174516,4.916489
696,1289.0,3.77602,1.476382
699,357.0,4.658235,0.441943
700,317.0,3.257186,0.919622
701,387.0,5.514408,4.560002
702,11.0,4.458027,5.151931
703,345.0,5.043332,5.569966
704,345.0,3.00305,2.901342
705,1289.0,6.712247,2.973994
706,62.0,1.704064,1.712177
707,178.0,6.612817,5.386994
708,190.0,5.23133,1.372542
709,79.0,2.326797,3.826777
