,Elevation,Latent Variable 1,Latent Variable 2,Latent Variable 3
231,173.0,1.294796,0.318414,2.139605
232,1099.0,1.464313,1.09295,1.88506
234,506.0,0.877429,1.793201,0.932739
235,1289.0,1.759806,2.278605,2.784087
236,405.0,0.0,2.097906,1.927443
237,7.0,2.289282,1.766079,0.937426
238,16.0,0.84793,1.274132,0.361379
239,1134.0,0.011588,1.17463,2.239051
240,125.0,4.957407,2.837984,5.179141
241,53.0,1.290412,3.063792,0.715837
242,874.0,0.0,5.284029,3.508256
243,387.0,1.784101,2.27371,3.320761
244,1608.0,0.784904,1.801318,1.926396
245,16.0,4.80195,3.753088,5.912812
246,849.0,2.12723,2.282835,0.590927
247,357.0,1.506432,2.770795,2.405224
248,329.0,1.050088,1.521836,5.693007
249,790.0,0.957969,2.612778,5.163576
250,506.0,0.881799,3.282008,1.924482
251,91.0,4.524127,4.053296,3.814681
252,12.0,1.98841,1.537686,2.071174
253,506.0,2.229154,2.815816,4.746653
254,654.0,4.650263,5.356095,3.64214
255,345.0,3.083236,0.655,4.032177
256,93.0,6.862875,7.106456,2.344078
257,215.0,1.253846,2.874466,5.712309
258,396.0,0.42477,2.579153,3.442562
259,62.0,0.0,5.790569,6.488739
260,214.0,0.0,4.716659,5.252335
261,13.0,2.592224,0.45238,1.963277
262,1475.0,2.607155,2.616241,4.078244
264,446.0,2.960958,3.776098,3.494237
265,214.0,0.625031,4.141633,2.07628
266,5.0,0.0,1.608331,0.352341
267,9.0,5.148611,7.224379,3.903557
268,137.0,2.365494,1.491232,1.572831
269,190.0,0.026992,5.662194,7.248234
270,11.0,1.546934,5.368128,0.794275
271,3.0,3.423733,0.992891,5.220604
272,93.0,4.180957,3.394569,4.236341
274,9.0,1.595285,3.673846,0.045613
275,62.0,6.831482,1.328625,2.686326
276,350.0,1.132689,2.895926,4.039643
277,1608.0,1.159326,3.607298,1.408914
278,171.0,2.990062,3.158396,2.678665
279,62.0,2.325655,4.378096,8.159611
280,95.0,2.565151,4.639883,5.831693
281,270.0,0.858175,1.646858,0.0
282,229.0,4.528386,2.00383,1.683648
283,9.0,3.866541,1.798877,3.855847
284,190.0,2.983088,2.966646,2.725235
286,62.0,1.468049,2.940467,3.33367
287,125.0,1.477952,6.669086,2.73548
289,751.0,3.371031,5.556378,4.910958
290,137.0,5.573271,3.495651,7.072737
291,1289.0,1.055197,1.42556,7.763092
292,1475.0,0.945901,1.062306,0.464095
293,61.0,0.388135,3.939648,5.678479
294,405.0,1.162795,3.785889,3.316288
295,1134.0,0.369595,0.0,3.909615
296,287.0,3.093298,4.089608,4.492158
298,387.0,1.773067,2.031195,5.499774
299,1619.0,4.085957,2.0596,5.899197
300,1134.0,1.562627,0.0,1.631245
301,125.0,0.402038,0.069414,0.485794
302,79.0,5.233691,0.668353,3.150079
304,7.0,0.242334,1.526709,0.220003
305,16.0,0.97282,4.443744,0.497072
306,11.0,6.874473,6.06689,3.916502
307,350.0,4.387575,5.651891,4.314904
308,229.0,4.257116,4.059752,3.472811
309,313.0,2.755728,1.401118,6.049605
310,1029.0,1.756711,2.402413,1.973111
311,180.0,2.033207,2.62889,7.936422
312,215.0,3.478075,4.5031,2.833637
313,178.0,1.828193,4.680598,4.597418
314,1619.0,2.777579,3.263462,4.172609
317,16.0,4.702842,6.011417,0.480145
318,1516.0,1.232359,0.649302,5.66023
319,10.0,4.038527,3.207054,3.276372
320,872.0,0.963881,5.194277,3.52903
321,1475.0,3.663058,1.629692,5.750579
322,5.0,7.533393,2.492259,1.184197
323,1134.0,1.745523,2.669016,5.604552
324,13.0,4.447217,2.224157,5.251863
325,329.0,2.613117,4.777489,6.129898
326,189.0,1.357514,5.762424,1.156865
328,790.0,0.971813,5.377097,5.106397
329,180.0,2.486971,3.286165,0.746581
330,9.0,3.21935,3.324735,3.225303
331,20.0,3.673815,6.792636,5.114925
332,1516.0,6.882063,3.001461,6.090873
333,5.0,2.305322,0.0,0.838848
334,9.0,1.240751,6.811999,3.616949
335,270.0,2.362539,2.466851,4.174586
336,446.0,5.011592,7.355874,4.181538
337,5.0,3.293546,2.651883,2.674597
338,137.0,3.707736,1.959505,5.960889
339,190.0,6.11436,5.87171,0.956889
340,11.0,2.657887,2.480044,7.580781
341,317.0,6.233365,4.914416,5.319775
342,287.0,3.963919,1.953394,2.491818
343,1289.0,0.344185,0.978453,4.184129
344,446.0,2.345239,1.255381,2.744603
345,270.0,0.150482,3.377059,0.70635
346,1289.0,0.456214,3.447326,2.098263
347,1516.0,1.309446,2.211087,6.377491
348,1619.0,0.689501,0.0,2.67755
349,245.0,3.137518,2.874918,5.308946
350,317.0,4.122315,5.586849,3.93368
352,345.0,0.636547,0.418281,1.554265
353,16.0,0.911884,2.869734,3.651737
354,190.0,0.257987,3.027717,8.751336
356,874.0,1.670005,0.582416,3.108884
357,1475.0,2.95366,3.116074,4.149687
358,121.0,1.474132,3.889089,6.799818
360,1289.0,1.766437,4.235432,4.133935
361,751.0,3.974417,5.569466,5.039103
362,173.0,3.792814,4.525353,3.116827
363,10.0,7.998064,3.249533,0.504599
364,180.0,2.276817,1.54404,1.257536
365,700.0,0.991173,3.154327,2.761941
366,874.0,0.0,3.520054,3.939156
367,173.0,3.913626,5.669385,2.901061
369,13.0,4.734237,3.07186,6.29519
370,178.0,4.694058,2.911512,4.135363
372,874.0,1.184135,1.595677,1.521191
373,10.0,6.277535,7.384965,2.88869
374,1029.0,0.0,0.933143,1.947866
375,1516.0,1.776422,0.0,4.001883
